column,missing_before_cleaning,missing_after_cleaning,values_filled
spy,1301,0,1301
qqq,1301,0,1301
iwm,1301,0,1301
btc_usd,2443,0,2443
vix,1301,0,1301
xlf,1301,0,1301
xlk,1301,0,1301
xle,1301,0,1301
xlv,1301,0,1301
gld,1301,0,1301
uso,1620,0,1620
spy_open,1301,0,1301
spy_high,1301,0,1301
spy_low,1301,0,1301
spy_volume,1301,0,1301
qqq_open,1301,0,1301
qqq_high,1301,0,1301
qqq_low,1301,0,1301
qqq_volume,1301,0,1301
iwm_open,1301,0,1301
iwm_high,1301,0,1301
iwm_low,1301,0,1301
iwm_volume,1301,0,1301
btc_usd_open,2443,0,2443
btc_usd_high,2443,0,2443
btc_usd_low,2443,0,2443
btc_usd_volume,2443,0,2443
fed_funds_rate,0,0,0
treasury_10y,0,0,0
treasury_2y,0,0,0
cpi,0,0,0
unemployment,0,0,0
industrial_production,0,0,0
yield_spread_10y_2y,0,0,0
ff_mkt_rf,1333,44,1289
ff_smb,1333,44,1289
ff_hml,1333,44,1289
ff_rf,1333,44,1289
