component,variance_explained,cumulative_variance
1,0.30603024522386685,0.30603024522386685
2,0.16808566927123755,0.4741159144951044
3,0.15027811999236157,0.6243940344874659
4,0.07296877750085853,0.6973628119883244
5,0.04667462824785843,0.7440374402361827
6,0.02907726723460166,0.7731147074707845
7,0.027503782551522943,0.8006184900223074
8,0.024427806738987985,0.8250462967612955
9,0.022985080071177208,0.8480313768324728
10,0.02163032382557353,0.8696617006580462
11,0.017941924318057113,0.8876036249761031
12,0.013363100623790366,0.9009667255998935
13,0.012449335661692014,0.9134160612615855
14,0.010971029120661334,0.9243870903822469
15,0.009842825931754373,0.9342299163140012
16,0.008790305813396206,0.9430202221273974
17,0.007788372926148973,0.9508085950535464
18,0.007558458996798492,0.958367054050345
19,0.006252130818954751,0.9646191848692997
20,0.005901948517104145,0.9705211333864038
