fold,acc,f1,auc,prauc,sil,train_size,test_size
1,0.5793650793650794,0.43010752688172044,0.5272177419354839,0.5912595955824833,0.2937578460458245,504,126
2,0.5952380952380952,0.5984251968503937,0.6714913414318946,0.5758880692900314,0.28948506096106896,630,126
3,0.5317460317460317,0.4380952380952381,0.6060987903225806,0.5781771264665064,0.27775862485330716,756,126
4,0.24603174603174602,0.09523809523809523,0.18998229193017963,0.3195133253168636,0.2305367404718469,882,126
5,0.6428571428571429,0.5945945945945946,0.6720679012345678,0.7641290523379094,0.7605789733452966,1008,126
6,0.6111111111111112,0.5585585585585585,0.6205654101995566,0.3997960117496978,0.7384688385019712,1134,126
7,0.5634920634920635,0.5045045045045045,0.6307030129124821,0.4405474821161417,0.7643521988787327,1260,126
8,0.5476190476190477,0.24,0.5073529411764706,0.5394123647900135,0.2116912395762925,1386,126
9,0.5634920634920635,0.42105263157894735,0.6013221459445716,0.5720086208329433,0.21741404260433936,1512,126
10,0.7063492063492064,0.4788732394366197,0.6812638580931264,0.5657234744541303,0.21711441870962872,1638,126
11,0.5873015873015873,0.5185185185185185,0.6161798914448178,0.7374962737653443,0.22804861769620843,1764,126
12,0.631578947368421,0.5333333333333333,0.8977272727272727,0.9327708907254362,0.2397305567408731,1890,19
