fold,acc,f1,auc,prauc,sil,train_size,test_size
1,0.4523809523809524,0.4297520661157025,0.4893509127789047,0.5174421310483189,0.3074207679709544,504,126
2,0.5,0.5655172413793104,0.5162612035851473,0.4475739852501519,0.2976651169829403,630,126
3,0.5,0.5771812080536913,0.47376583096407343,0.5572058458675602,0.31248001459685126,756,126
4,0.40476190476190477,0.5222929936305732,0.33650882600168114,0.5551710714178659,0.3080419272166275,882,126
5,0.6746031746031746,0.7210884353741497,0.7568458417849899,0.8014755784645307,0.3083121092093128,1008,126
6,0.48412698412698413,0.453781512605042,0.6425240054869683,0.7585984185009143,0.31194219832116443,1134,126
7,0.4523809523809524,0.46511627906976744,0.5833586395384148,0.33154102200864877,0.3283818481278083,1260,126
8,0.4365079365079365,0.25263157894736843,0.4415760869565217,0.3674935667118168,0.3520084467133582,1386,126
9,0.5634920634920635,0.5736434108527132,0.5981237322515213,0.6807334249969679,0.3248661420378983,1512,126
10,0.3333333333333333,0.288135593220339,0.46312769010043037,0.6548917185287638,0.31592734657850824,1638,126
11,0.5555555555555556,0.5409836065573771,0.5700604838709677,0.540972500720322,0.3266202079995865,1764,126
12,0.4444444444444444,0.5394736842105263,0.42710643015521066,0.6219421349340906,0.33340737822573463,1890,126
13,0.7727272727272727,0.7619047619047619,0.8083333333333333,0.8181564707222602,0.3476861863065657,2016,22
