fold,acc,f1,auc,prauc,sil,train_size,test_size
1,0.5476190476190477,0.5210084033613446,0.599234693877551,0.5697030489426267,0.3481956636586563,504,126
2,0.6031746031746031,0.6428571428571429,0.6782828282828283,0.66119888622327,0.3433034251387629,630,126
3,0.7142857142857143,0.7631578947368421,0.7745358090185677,0.8698875204382869,0.32996887969925104,756,126
4,0.2777777777777778,0.3053435114503817,0.2066326530612245,0.4097698988593698,0.3310537403683235,882,126
5,0.5634920634920635,0.6405228758169934,0.5306652806652806,0.6186991060764969,0.4021245186416774,1008,126
6,0.5317460317460317,0.609271523178808,0.5654244886522837,0.7193148133151407,0.4198499728913728,1134,126
7,0.2777777777777778,0.42038216560509556,0.5529306220095693,0.35773510813002696,0.42824964078729777,1260,126
8,0.6507936507936508,0.5217391304347826,0.6795918367346939,0.6773678385593244,0.40599627720491505,1386,126
9,0.6428571428571429,0.6762589928057554,0.7257653061224489,0.74769165311092,0.3705421079570836,1512,126
10,0.29365079365079366,0.16822429906542055,0.42160493827160495,0.6650267027255502,0.39111855813718793,1638,126
11,0.49206349206349204,0.4482758620689655,0.5306280692685449,0.44520016414102564,0.36609842459974806,1764,126
12,0.5,0.5882352941176471,0.44711538461538464,0.6187243661952714,0.36520059252419607,1890,126
13,0.41379310344827586,0.2608695652173913,0.23809523809523808,0.4292373878678001,0.34888038834588636,2016,29
