fold,acc,f1,auc,prauc,sil,train_size,test_size,selected_features
1,0.5873015873015873,0.59375,0.5793367346938777,0.5917092706882927,0.3481956636586563,504,126,"['spy_gld_mom_10d', 'iwm_spy_mom_5d', 'qqq_spy_mom_5d', 'qqq_spy_mom_10d', 'btc_spy_mom_10d', 'sector_disp_chg_5d', 'spy_btc_corr_chg_5d', 'spy_gld_corr_21d', 'yield_mom_5d', 'vix_sma_ratio', 'credit_spread', 'credit_spread_mom_21d', 'credit_spread_vol_21d', 'dxy_mom_5d', 'dxy_zscore', 'rsi_14', 'volatility_10d', 'atr_norm', 'regime_dur', 'vol_surprise']"
2,0.5873015873015873,0.6119402985074627,0.6474747474747475,0.6752021802922161,0.3433034251387629,630,126,"['spy_gld_mom_10d', 'iwm_spy_mom_10d', 'qqq_spy_mom_5d', 'qqq_spy_mom_10d', 'btc_spy_mom_10d', 'sector_disp_21d', 'sector_disp_chg_5d', 'spy_btc_corr_21d', 'spy_btc_corr_chg_5d', 'spy_gld_corr_21d', 'yield_mom_10d', 'credit_spread', 'credit_spread_vol_21d', 'dxy_mom_21d', 'bollinger_pos', 'volatility_10d', 'atr_norm', 'vix_rv_ratio', 'regime_dur', 'vol_surprise']"
3,0.7301587301587301,0.8210526315789474,0.6840554081933392,0.8270290109670989,0.32996887969925104,756,126,"['iwm_spy_mom_10d', 'qqq_spy_mom_5d', 'qqq_spy_mom_10d', 'btc_spy_mom_10d', 'sector_disp_21d', 'sector_disp_chg_5d', 'spy_btc_corr_21d', 'spy_btc_corr_chg_5d', 'spy_gld_corr_21d', 'yield_mom_10d', 'yield_zscore', 'vix_sma_ratio', 'credit_spread', 'credit_spread_vol_21d', 'dxy_mom_21d', 'volatility_21d', 'volatility_10d', 'vix_rv_ratio', 'regime_dur', 'vol_surprise']"
4,0.4365079365079365,0.5696969696969697,0.30127551020408166,0.45862451354705636,0.3310537403683235,882,126,"['spy_gld_mom_10d', 'iwm_spy_mom_10d', 'qqq_spy_mom_5d', 'qqq_spy_mom_10d', 'btc_spy_mom_10d', 'sector_disp_21d', 'sector_disp_chg_5d', 'spy_btc_corr_21d', 'spy_btc_corr_chg_5d', 'spy_gld_corr_21d', 'yield_zscore', 'credit_spread', 'credit_spread_vol_21d', 'dist_sma_50', 'volatility_10d', 'atr_norm', 'vix_rv_ratio', 'regime_prob_0', 'regime_dur', 'vol_surprise']"
5,0.5396825396825397,0.6813186813186813,0.5566528066528067,0.6231457968585804,0.4021245186416774,1008,126,"['spy_gld_mom_10d', 'iwm_spy_mom_5d', 'iwm_spy_mom_10d', 'qqq_spy_mom_10d', 'btc_spy_mom_5d', 'btc_spy_mom_10d', 'sector_disp_21d', 'sector_disp_chg_5d', 'spy_btc_corr_21d', 'spy_gld_corr_21d', 'credit_spread', 'credit_spread_mom_21d', 'credit_spread_vol_21d', 'dxy_mom_21d', 'dxy_zscore', 'dist_sma_50', 'volatility_10d', 'vix_rv_ratio', 'regime_dur', 'vol_surprise']"
6,0.5396825396825397,0.5797101449275363,0.5881199215466518,0.7115981856042307,0.4198499728913728,1134,126,"['spy_gld_mom_10d', 'iwm_spy_mom_10d', 'qqq_spy_mom_10d', 'btc_spy_mom_5d', 'btc_spy_mom_10d', 'sector_disp_21d', 'sector_disp_chg_5d', 'spy_btc_corr_21d', 'spy_gld_corr_21d', 'credit_spread', 'credit_spread_mom_21d', 'credit_spread_vol_21d', 'dxy_mom_21d', 'dxy_zscore', 'dist_sma_50', 'volatility_21d', 'volatility_10d', 'atr_norm', 'regime_dur', 'vol_surprise']"
7,0.40476190476190477,0.5033112582781457,0.5897129186602871,0.39296664263019904,0.42824964078729777,1260,126,"['iwm_spy_mom_10d', 'qqq_spy_mom_10d', 'btc_spy_mom_5d', 'btc_spy_mom_10d', 'sector_disp_21d', 'sector_disp_chg_5d', 'spy_btc_corr_21d', 'spy_gld_corr_21d', 'yield_zscore', 'vix_zscore', 'credit_spread', 'credit_spread_vol_21d', 'dxy_mom_21d', 'dxy_zscore', 'dist_sma_50', 'volatility_21d', 'volatility_10d', 'vix_rv_ratio', 'regime_dur', 'vol_surprise']"
8,0.5317460317460317,0.0,0.6145408163265306,0.49578078011692217,0.40599627720491505,1386,126,"['iwm_spy_mom_10d', 'btc_spy_mom_10d', 'sector_disp_21d', 'sector_disp_chg_5d', 'spy_btc_corr_21d', 'spy_gld_corr_21d', 'spy_gld_corr_chg_5d', 'vix_sma_ratio', 'vix_zscore', 'credit_spread', 'credit_spread_zscore', 'credit_spread_vol_21d', 'dxy_zscore', 'dist_sma_50', 'volatility_21d', 'volatility_10d', 'atr_norm', 'vix_rv_ratio', 'regime_dur', 'vol_surprise']"
9,0.5873015873015873,0.6338028169014085,0.6475765306122448,0.6700507473821764,0.3705421079570836,1512,126,"['iwm_spy_mom_10d', 'qqq_spy_mom_5d', 'sector_disp_21d', 'spy_btc_corr_21d', 'spy_btc_corr_chg_5d', 'spy_gld_corr_21d', 'vix_zscore', 'credit_spread', 'credit_spread_mom_21d', 'credit_spread_zscore', 'credit_spread_vol_21d', 'dxy_mom_21d', 'dxy_zscore', 'dist_sma_50', 'volatility_21d', 'volatility_10d', 'atr_norm', 'vix_rv_ratio', 'regime_dur', 'vol_surprise']"
10,0.48412698412698413,0.4715447154471545,0.591358024691358,0.7764557762304283,0.39111855813718793,1638,126,"['qqq_spy_mom_5d', 'btc_spy_mom_10d', 'sector_disp_21d', 'spy_btc_corr_21d', 'spy_btc_corr_chg_5d', 'spy_gld_corr_21d', 'yield_zscore', 'vix_zscore', 'credit_spread', 'credit_spread_zscore', 'credit_spread_vol_21d', 'dxy_mom_21d', 'dxy_zscore', 'dist_sma_50', 'volatility_21d', 'volatility_10d', 'atr_norm', 'vix_rv_ratio', 'regime_dur', 'vol_surprise']"
11,0.48412698412698413,0.6198830409356725,0.5076247092271905,0.39507733678094276,0.36609842459974806,1764,126,"['iwm_spy_mom_10d', 'qqq_spy_mom_5d', 'sector_disp_21d', 'spy_btc_corr_21d', 'spy_btc_corr_chg_5d', 'spy_gld_corr_21d', 'yield_zscore', 'vix_zscore', 'credit_spread', 'credit_spread_mom_21d', 'credit_spread_vol_21d', 'dxy_mom_21d', 'dxy_zscore', 'dist_sma_50', 'volatility_21d', 'volatility_10d', 'atr_norm', 'vix_rv_ratio', 'regime_dur', 'vol_surprise']"
12,0.5555555555555556,0.6266666666666667,0.5755876068376069,0.6681944947392227,0.36520059252419607,1890,126,"['iwm_spy_mom_10d', 'qqq_spy_mom_5d', 'sector_disp_21d', 'spy_btc_corr_21d', 'spy_btc_corr_chg_5d', 'spy_gld_corr_21d', 'yield_mom_10d', 'yield_zscore', 'vix_zscore', 'credit_spread', 'credit_spread_mom_21d', 'credit_spread_vol_21d', 'dxy_zscore', 'dist_sma_50', 'volatility_21d', 'volatility_10d', 'atr_norm', 'vix_rv_ratio', 'regime_dur', 'vol_surprise']"
